Id,Name,Type,Industry,Description,AccountNumber,Website,Phone,BillingStreet,BillingCity,BillingPostalCode,BillingCountry
1,Account 1,Prospect,Healthcare,This is a description for Account 1.,ACC00001,https://www.account1.com,+1-555-7166,136 Main St,City1,35862,USA
2,Account 2,Vendor,Education,This is a description for Account 2.,ACC00002,https://www.account2.com,+1-555-6815,551 Main St,City2,33441,UK
3,Account 3,Vendor,Technology,This is a description for Account 3.,ACC00003,https://www.account3.com,+1-555-6994,256 Main St,City3,19679,USA
4,Account 4,Customer,Technology,This is a description for Account 4.,ACC00004,https://www.account4.com,+1-555-2122,439 Main St,City4,82571,Canada
5,Account 5,Prospect,Healthcare,This is a description for Account 5.,ACC00005,https://www.account5.com,+1-555-1581,657 Main St,City5,38702,Australia
6,Account 6,Customer,Retail,This is a description for Account 6.,ACC00006,https://www.account6.com,+1-555-8606,738 Main St,City6,71319,Australia
7,Account 7,Partner,Finance,This is a description for Account 7.,ACC00007,https://www.account7.com,+1-555-4147,997 Main St,City7,76970,UK
8,Account 8,Vendor,Finance,This is a description for Account 8.,ACC00008,https://www.account8.com,+1-555-8329,984 Main St,City8,56341,Germany
9,Account 9,Customer,Technology,This is a description for Account 9.,ACC00009,https://www.account9.com,+1-555-9294,961 Main St,City9,47695,USA
10,Account 10,Partner,Healthcare,This is a description for Account 10.,ACC00010,https://www.account10.com,+1-555-6170,439 Main St,City10,34133,Canada
11,Account 11,Partner,Retail,This is a description for Account 11.,ACC00011,https://www.account11.com,+1-555-6098,153 Main St,City11,10618,UK
12,Account 12,Customer,Education,This is a description for Account 12.,ACC00012,https://www.account12.com,+1-555-2551,431 Main St,City12,16356,Germany
13,Account 13,Vendor,Retail,This is a description for Account 13.,ACC00013,https://www.account13.com,+1-555-8078,871 Main St,City13,59317,Canada
14,Account 14,Partner,Technology,This is a description for Account 14.,ACC00014,https://www.account14.com,+1-555-6744,287 Main St,City14,47858,USA
15,Account 15,Prospect,Technology,This is a description for Account 15.,ACC00015,https://www.account15.com,+1-555-3278,807 Main St,City15,21866,USA
16,Account 16,Customer,Healthcare,This is a description for Account 16.,ACC00016,https://www.account16.com,+1-555-4222,925 Main St,City16,46854,USA
17,Account 17,Customer,Retail,This is a description for Account 17.,ACC00017,https://www.account17.com,+1-555-9774,474 Main St,City17,35183,Australia
18,Account 18,Customer,Retail,This is a description for Account 18.,ACC00018,https://www.account18.com,+1-555-5750,889 Main St,City18,33430,Canada
19,Account 19,Partner,Retail,This is a description for Account 19.,ACC00019,https://www.account19.com,+1-555-6816,396 Main St,City19,26085,Australia
20,Account 20,Partner,Healthcare,This is a description for Account 20.,ACC00020,https://www.account20.com,+1-555-5051,313 Main St,City20,47802,UK
21,Account 21,Customer,Technology,This is a description for Account 21.,ACC00021,https://www.account21.com,+1-555-6674,784 Main St,City21,49400,Canada
22,Account 22,Prospect,Education,This is a description for Account 22.,ACC00022,https://www.account22.com,+1-555-4516,551 Main St,City22,35445,USA
23,Account 23,Prospect,Healthcare,This is a description for Account 23.,ACC00023,https://www.account23.com,+1-555-1196,849 Main St,City23,53547,Canada
24,Account 24,Customer,Retail,This is a description for Account 24.,ACC00024,https://www.account24.com,+1-555-1476,256 Main St,City24,25822,Australia
25,Account 25,Vendor,Healthcare,This is a description for Account 25.,ACC00025,https://www.account25.com,+1-555-4080,257 Main St,City25,55991,Australia
26,Account 26,Prospect,Retail,This is a description for Account 26.,ACC00026,https://www.account26.com,+1-555-8366,312 Main St,City26,24849,Australia
27,Account 27,Partner,Retail,This is a description for Account 27.,ACC00027,https://www.account27.com,+1-555-8836,543 Main St,City27,60464,Canada
28,Account 28,Vendor,Finance,This is a description for Account 28.,ACC00028,https://www.account28.com,+1-555-4030,235 Main St,City28,91441,Canada
29,Account 29,Partner,Retail,This is a description for Account 29.,ACC00029,https://www.account29.com,+1-555-9530,996 Main St,City29,97135,Germany
30,Account 30,Customer,Retail,This is a description for Account 30.,ACC00030,https://www.account30.com,+1-555-7149,584 Main St,City30,60231,UK
31,Account 31,Partner,Retail,This is a description for Account 31.,ACC00031,https://www.account31.com,+1-555-5643,798 Main St,City31,48157,UK
